dataset	output_file	output_exists	line	protein_or_file	normalized_protein_key	printed_forward_mutations	pickle_v3_mutation_count	count_match	trace_text
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	3024	2lzmA.pdb	2lzma	98	98	True	Took 164.7689814567566 for 2lzmA.pdb with 98 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	3033	1supA.pdb	1supa	6	6	True	Took 12.959915399551392 for 1supA.pdb with 6 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	3043	3mbpA.pdb	3mbpa	7	7	True	Took 18.409849882125854 for 3mbpA.pdb with 7 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	3054	2trxA.pdb	2trxa	8	8	True	Took 13.335109233856201 for 2trxA.pdb with 8 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	3058	1qm4A.pdb	1qm4a	1	1	True	Took 2.6646502017974854 for 1qm4A.pdb with 1 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	3066	1oh0A.pdb	1oh0a	5	5	True	Took 8.296892881393433 for 1oh0A.pdb with 5 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	3078	3pgkA.pdb	3pgka	9	9	True	Took 24.08967876434326 for 3pgkA.pdb with 9 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	3112	1rn1C.pdb	1rn1c	31	31	True	Took 51.14434885978699 for 1rn1C.pdb with 31 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	3143	1sakA.pdb	1saka	28	28	True	Took 46.28219795227051 for 1sakA.pdb with 28 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	3150	1shgA.pdb	1shga	4	4	True	Took 6.746904373168945 for 1shgA.pdb with 4 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	3157	3glyA.pdb	3glya	4	4	True	Took 12.114106893539429 for 3glyA.pdb with 4 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	3181	1apsA.pdb	1apsa	21	21	True	Took 35.18236565589905 for 1apsA.pdb with 21 forward-mutations
S_921	colab_notebooks_inventory_analysis/git_notebook_outputs/S921_ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True							NO_TRACE_MATCH
S_921	colab_notebooks_inventory_analysis/notebook_outputs/S921_ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	False							
S_669	colab_notebooks_inventory_analysis/git_notebook_outputs/S669_ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True							NO_TRACE_MATCH
S_669	colab_notebooks_inventory_analysis/notebook_outputs/S669_ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True							NO_TRACE_MATCH
Ssym	colab_notebooks_inventory_analysis/git_notebook_outputs/Ssym_ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True							NO_TRACE_MATCH
Ssym	colab_notebooks_inventory_analysis/notebook_outputs/Ssym_ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	46	1amqA.pdb	1amqa	4	4	True	Took 9.686134338378906 for 1amqA.pdb with 4 forward-mutations
Ssym	colab_notebooks_inventory_analysis/notebook_outputs/Ssym_ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	52	1ceyA.pdb	1ceya	3	3	True	Took 3.5037262439727783 for 1ceyA.pdb with 3 forward-mutations
Ssym	colab_notebooks_inventory_analysis/notebook_outputs/Ssym_ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	83	1ey0A.pdb	1ey0a	28	28	True	Took 32.4776816368103 for 1ey0A.pdb with 28 forward-mutations
Ssym	colab_notebooks_inventory_analysis/notebook_outputs/Ssym_ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	99	1bniA.pdb	1bnia	13	13	True	Took 13.561881065368652 for 1bniA.pdb with 13 forward-mutations
Ssym	colab_notebooks_inventory_analysis/notebook_outputs/Ssym_ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	107	1vqbA.pdb	1vqba	5	5	True	Took 4.984991073608398 for 1vqbA.pdb with 5 forward-mutations
Ssym	colab_notebooks_inventory_analysis/notebook_outputs/Ssym_ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	111	1iobA.pdb	1ioba	1	1	True	Took 1.2591869831085205 for 1iobA.pdb with 1 forward-mutations
Ssym	colab_notebooks_inventory_analysis/notebook_outputs/Ssym_ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	232	1l63A.pdb	1l63a	118	118	True	Took 149.86409664154053 for 1l63A.pdb with 118 forward-mutations
Ssym	colab_notebooks_inventory_analysis/notebook_outputs/Ssym_ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	237	1oh0A.pdb	1oh0a	2	2	True	Took 2.264871835708618 for 1oh0A.pdb with 2 forward-mutations
Ssym	colab_notebooks_inventory_analysis/notebook_outputs/Ssym_ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	301	1lz1A.pdb	1lz1a	61	61	True	Took 69.55751776695251 for 1lz1A.pdb with 61 forward-mutations
Ssym	colab_notebooks_inventory_analysis/notebook_outputs/Ssym_ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	305	1rn1C.pdb	1rn1c	1	1	True	Took 1.0583951473236084 for 1rn1C.pdb with 1 forward-mutations
Ssym	colab_notebooks_inventory_analysis/notebook_outputs/Ssym_ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	311	1ihbA.pdb	1ihba	3	3	True	Took 3.7537970542907715 for 1ihbA.pdb with 3 forward-mutations
Ssym	colab_notebooks_inventory_analysis/notebook_outputs/Ssym_ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	332	2rn2A.pdb	2rn2a	18	18	True	Took 22.36875009536743 for 2rn2A.pdb with 18 forward-mutations
Ssym	colab_notebooks_inventory_analysis/notebook_outputs/Ssym_ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	401	2lzmA.pdb	2lzma	66	66	True	Took 84.51413869857788 for 2lzmA.pdb with 66 forward-mutations
Ssym	colab_notebooks_inventory_analysis/notebook_outputs/Ssym_ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	409	5ptiA.pdb	5ptia	5	5	True	Took 4.729813814163208 for 5ptiA.pdb with 5 forward-mutations
Ssym	colab_notebooks_inventory_analysis/notebook_outputs/Ssym_ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	426	4lyzA.pdb	4lyza	14	14	True	Took 15.968106746673584 for 4lyzA.pdb with 14 forward-mutations
